source,label,target
arrangement/1/locus/2,trov#hasLocation,filepath2
composition/1,trov#hasFingerprint,fp1
arrangement/1/locus/1,trov#hasArtifact,composition/1/artifact/1
composition/1,rdf#type,trov#ArtifactComposition
arrangement/1,trov#hasLocus,arrangement/1/locus/1
fp1,rdf#type,trov#CompositionFingerprint
Naadfb33d0b77490db96ed045e668d933,trov#hasComposition,composition/1
arrangement/1/locus/1,rdf#type,trov#ArtifactLocus
composition/1/artifact/1,rdf#type,trov#ResearchArtifact
composition/1/artifact/1,trov#sha256,art.sha256.1
arrangement/1/locus/1,trov#hasLocation,filepath1
fp1,trov#sha256,sha256.fp1
composition/1,trov#hasArtifact,composition/1/artifact/1
arrangement/1/locus/2,rdf#type,trov#ArtifactLocus
arrangement/1/locus/2,trov#hasArtifact,composition/1/artifact/100
Naadfb33d0b77490db96ed045e668d933,trov#hasArrangement,arrangement/1
arrangement/1,trov#hasLocus,arrangement/1/locus/2
arrangement/1,rdf#type,trov#ArtifactArrangement
